tamanho_vetor,Insertion,Selection,Bubble,Merge,Quick,Shell,Radix
38,0.003546450,0.038996200,0.003840175,0.046287175,0.032833325,0.007898350,0.004310250
76,0.001914850,0.041509275,0.002325725,0.026274975,0.045323450,0.018142100,0.007936550
114,0.003355075,0.082217425,0.003313400,0.037969125,0.099320850,0.032094450,0.012315525
152,0.004143300,0.143825675,0.004271250,0.053148325,0.154827075,0.040804575,0.015521500
190,0.005051975,0.214035050,0.005253625,0.063526300,0.236433125,0.050057600,0.019440400
228,0.006628050,0.306217575,0.005875725,0.076509525,0.369023900,0.059750775,0.034897150
266,0.006836825,0.412382375,0.007103800,0.090707800,0.492519050,0.079354850,0.037597150
304,0.007723475,0.552061400,0.008493850,0.101589450,0.614598150,0.093379925,0.043836775
342,0.008355875,0.700640825,0.009218975,0.117457625,0.749248400,0.102825175,0.048460350
